id,name,shortname,entrez_id,mgi
37,"hepatocyte growth factor","Hgf","15234","96079"
255,"somatostatin receptor 2","Sstr2","20606","98328"
49,"dopamine receptor D2","Drd2","13489","94924"
492,"secernin 1","Scrn1","69938","1917188"
44,"phosphodiesterase 1C","Pde1c","18575","108413"
46,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B","Sema3b","20347","107561"
76,"cholinergic receptor, muscarinic 4","Chrm4","12672","88399"
28,"ubiquitin carboxy-terminal hydrolase L1","Uchl1","22223","103149"
996,"motor neuron and pancreas homeobox 1","Mnx1","15285","109160"
673,"coiled-coil domain containing 163","Ccdc163","68394","1915644"
489,"DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57","Dhx57","106794","2147067"
48,"dopamine receptor D1","Drd1","13488","99578"
357,"PDZK1 interacting protein 1","Pdzk1ip1","67182","1914432"
148,"LIM homeobox protein 6","Lhx6","16874","1306803"
72,"glutamate receptor, ionotropic, NMDA2C (epsilon 3)","Grin2c","14813","95822"
229,"orthodenticle homolog 1","Otx1","18423","97450"
849,"Eph receptor A7","Epha7","13841","95276"
261,"prodynorphin","Pdyn","18610","97535"
900,"G protein-coupled receptor, family C, group 5, member B","Gprc5b","64297","1927596"
727,"forkhead box M1","Foxm1","14235","1347487"
771,"glial cells missing homolog 2 (Drosophila)","Gcm2","107889","1861438"
735,"potassium voltage gated channel, Shaw-related subfamily, member 1","Kcnc1","16502","96667"
187,"nerve growth factor receptor (TNFR superfamily, member 16)","Ngfr","18053","97323"
508,"trans-acting transcription factor 4","Sp4","20688","107595"
871,"Janus kinase 2","Jak2","16452","96629"
345,"membrane-associated ring finger (C3HC4) 4","March4","381270","2683550"
88,"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4","Slc6a4","15567","96285"
246,"goosecoid homebox 2","Gsc2","195333","892006"
33,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A","Sema3a","20346","107558"
329,"preproenkephalin","Penk","18619","104629"
142,"met proto-oncogene","Met","17295","96969"
288,"leucine-rich repeats and immunoglobulin-like domains 2","Lrig2","269473","2443718"
